id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_100186,CHEBI_103016,CHEBI_100186_CHEBI_103016,Diastereomers,Diastereomers,100.0
CHEBI_207470,CHEBI_205260,CHEBI_205260_CHEBI_207470,Diastereomers,Diastereomers,100.0
CHEBI_126888,CHEBI_129250,CHEBI_126888_CHEBI_129250,Diastereomers,Diastereomers,100.0
CHEBI_91775,CHEBI_156577,CHEBI_156577_CHEBI_91775,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_57568,CHEBI_47963,CHEBI_47963_CHEBI_57568,Protomers,Protomers,85.0
CHEBI_188923,CHEBI_26773,CHEBI_188923_CHEBI_26773,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_157535,CHEBI_157216,CHEBI_157216_CHEBI_157535,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_241349,CHEBI_45240,CHEBI_241349_CHEBI_45240,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_64029,CHEBI_64030,CHEBI_64029_CHEBI_64030,Enantiomers,Enantiomers,100.0
CHEBI_167473,CHEBI_155877,CHEBI_155877_CHEBI_167473,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_11438,CHEBI_17365,CHEBI_11438_CHEBI_17365,Protomers,Protomers,86.0
CHEBI_206730,CHEBI_199920,CHEBI_199920_CHEBI_206730,Diastereomers,Diastereomers,76.0
CHEBI_110783,CHEBI_110771,CHEBI_110771_CHEBI_110783,Diastereomers,Diastereomers,100.0
CHEBI_59183,CHEBI_59182,CHEBI_59182_CHEBI_59183,Enantiomers,Enantiomers,100.0
CHEBI_181569,CHEBI_70243,CHEBI_181569_CHEBI_70243,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_181540,CHEBI_70076,CHEBI_181540_CHEBI_70076,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_58289,CHEBI_17835,CHEBI_17835_CHEBI_58289,Protomers,Protomers,87.0
CHEBI_57279,CHEBI_1449,CHEBI_1449_CHEBI_57279,Protomers,Protomers,84.0
