id_left,id_right,pairkey
CHEBI_32851,CHEBI_16414,CHEBI_16414__CHEBI_32851
CHEBI_29920,CHEBI_15907,CHEBI_15907__CHEBI_29920
CHEBI_32820,CHEBI_16857,CHEBI_16857__CHEBI_32820
CHEBI_17822,CHEBI_32846,CHEBI_17822__CHEBI_32846
CHEBI_15832,CHEBI_9889,CHEBI_15832__CHEBI_9889
CHEBI_15816,CHEBI_32689,CHEBI_15816__CHEBI_32689
CHEBI_32696,CHEBI_32697,CHEBI_32696__CHEBI_32697
CHEBI_32672,CHEBI_17061,CHEBI_17061__CHEBI_32672
CHEBI_32656,CHEBI_28159,CHEBI_28159__CHEBI_32656
CHEBI_32637,CHEBI_16867,CHEBI_16867__CHEBI_32637
CHEBI_32623,CHEBI_28225,CHEBI_28225__CHEBI_32623
CHEBI_27730,CHEBI_32609,CHEBI_27730__CHEBI_32609
CHEBI_9093,CHEBI_32754,CHEBI_32754__CHEBI_9093
CHEBI_32753,CHEBI_32752,CHEBI_32752__CHEBI_32753
CHEBI_11892,CHEBI_18261,CHEBI_11892__CHEBI_18261
CHEBI_13941,CHEBI_28616,CHEBI_13941__CHEBI_28616
CHEBI_17560,CHEBI_857,CHEBI_17560__CHEBI_857
CHEBI_17272,CHEBI_30768,CHEBI_17272__CHEBI_30768
CHEBI_20051,CHEBI_37032,CHEBI_20051__CHEBI_37032
CHEBI_35908,CHEBI_24326,CHEBI_24326__CHEBI_35908
CHEBI_20070,CHEBI_37035,CHEBI_20070__CHEBI_37035
CHEBI_17839,CHEBI_4581,CHEBI_17839__CHEBI_4581
CHEBI_27623,CHEBI_40856,CHEBI_27623__CHEBI_40856
CHEBI_11047,CHEBI_17290,CHEBI_11047__CHEBI_17290
CHEBI_19680,CHEBI_37079,CHEBI_19680__CHEBI_37079
CHEBI_13705,CHEBI_15344,CHEBI_13705__CHEBI_15344
CHEBI_11951,CHEBI_17645,CHEBI_11951__CHEBI_17645
CHEBI_30417,CHEBI_30418,CHEBI_30417__CHEBI_30418
CHEBI_27544,CHEBI_1395,CHEBI_1395__CHEBI_27544
CHEBI_17468,CHEBI_8934,CHEBI_17468__CHEBI_8934
CHEBI_37154,CHEBI_18012,CHEBI_18012__CHEBI_37154
CHEBI_19373,CHEBI_31074,CHEBI_19373__CHEBI_31074
CHEBI_30421,CHEBI_30422,CHEBI_30421__CHEBI_30422
