threshold,n_predictions_for_class,n_high_confidence,high_confidence_fraction,tp,fp,tn,fn,precision,recall,sensitivity,specificity,false_positive_rate,false_negative_rate,f1,balanced_accuracy,youden_j
39,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
40,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
41,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
42,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
43,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
44,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
45,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
46,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
47,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
48,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
49,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
50,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
51,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
52,2909,2909,1.0,2880,29,0,0,0.9900309384668271,1.0,1.0,0.0,1.0,0.0,0.9949904992226637,0.5,0.0
