id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_139163,CHEBI_139164,CHEBI_139163_CHEBI_139164,protomer,protomer,88.0,1
CHEBI_229696,CHEBI_25208,CHEBI_229696_CHEBI_25208,protomer,protomer,96.0,1
CHEBI_65108,CHEBI_65086,CHEBI_65086_CHEBI_65108,protomer,protomer,88.0,1
CHEBI_29748,CHEBI_17333,CHEBI_17333_CHEBI_29748,protomer,protomer,92.0,1
CHEBI_32403,CHEBI_45807,CHEBI_32403_CHEBI_45807,protomer,protomer,92.0,1
CHEBI_62225,CHEBI_27891,CHEBI_27891_CHEBI_62225,protomer,protomer,82.0,1
CHEBI_58613,CHEBI_29112,CHEBI_29112_CHEBI_58613,protomer,protomer,92.0,1
CHEBI_57706,CHEBI_16265,CHEBI_16265_CHEBI_57706,protomer,protomer,89.0,1
CHEBI_63619,CHEBI_63650,CHEBI_63619_CHEBI_63650,protomer,protomer,92.0,1
CHEBI_57730,CHEBI_16318,CHEBI_16318_CHEBI_57730,protomer,protomer,92.0,1
CHEBI_167169,CHEBI_167168,CHEBI_167168_CHEBI_167169,protomer,protomer,91.0,1
CHEBI_2639,CHEBI_84745,CHEBI_2639_CHEBI_84745,protomer,protomer,99.0,1
CHEBI_16237,CHEBI_30749,CHEBI_16237_CHEBI_30749,protomer,protomer,92.0,1
CHEBI_133730,CHEBI_70811,CHEBI_133730_CHEBI_70811,protomer,protomer,95.0,1
CHEBI_609827,CHEBI_78902,CHEBI_609827_CHEBI_78902,protomer,protomer,65.0,1
CHEBI_597326,CHEBI_18405,CHEBI_18405_CHEBI_597326,protomer,protomer,94.0,1
CHEBI_5555,CHEBI_72602,CHEBI_5555_CHEBI_72602,protomer,protomer,75.0,1
CHEBI_61717,CHEBI_60562,CHEBI_60562_CHEBI_61717,protomer,protomer,97.0,1
CHEBI_190288,CHEBI_36332,CHEBI_190288_CHEBI_36332,protomer,protomer,93.0,1
CHEBI_77616,CHEBI_12256,CHEBI_12256_CHEBI_77616,protomer,protomer,92.0,1
CHEBI_53686,CHEBI_53685,CHEBI_53685_CHEBI_53686,protomer,protomer,91.0,1
CHEBI_51354,CHEBI_18208,CHEBI_18208_CHEBI_51354,protomer,protomer,96.0,1
CHEBI_16782,CHEBI_32797,CHEBI_16782_CHEBI_32797,protomer,protomer,85.0,1
CHEBI_140405,CHEBI_140265,CHEBI_140265_CHEBI_140405,protomer,protomer,94.0,1
CHEBI_78325,CHEBI_63993,CHEBI_63993_CHEBI_78325,protomer,protomer,95.0,1
CHEBI_83797,CHEBI_83796,CHEBI_83796_CHEBI_83797,protomer,protomer,96.0,1
CHEBI_192527,CHEBI_133917,CHEBI_133917_CHEBI_192527,protomer,protomer,95.0,1
CHEBI_16487,CHEBI_57790,CHEBI_16487_CHEBI_57790,protomer,protomer,95.0,1
CHEBI_30620,CHEBI_18042,CHEBI_18042_CHEBI_30620,protomer,protomer,88.0,1
CHEBI_14280,CHEBI_16729,CHEBI_14280_CHEBI_16729,protomer,protomer,89.0,1
CHEBI_136397,CHEBI_137109,CHEBI_136397_CHEBI_137109,protomer,protomer,90.0,1
CHEBI_18327,CHEBI_7274,CHEBI_18327_CHEBI_7274,protomer,protomer,88.0,1
CHEBI_16146,CHEBI_29045,CHEBI_16146_CHEBI_29045,protomer,protomer,88.0,1
CHEBI_6532,CHEBI_86969,CHEBI_6532_CHEBI_86969,protomer,protomer,92.0,1
CHEBI_58246,CHEBI_17717,CHEBI_17717_CHEBI_58246,protomer,protomer,87.0,1
CHEBI_131429,CHEBI_192797,CHEBI_131429_CHEBI_192797,protomer,protomer,94.0,1
CHEBI_62932,CHEBI_168396,CHEBI_168396_CHEBI_62932,protomer,protomer,96.0,1
CHEBI_73088,CHEBI_53654,CHEBI_53654_CHEBI_73088,protomer,protomer,97.0,1
CHEBI_73935,CHEBI_73963,CHEBI_73935_CHEBI_73963,protomer,protomer,88.0,1
CHEBI_72791,CHEBI_72792,CHEBI_72791_CHEBI_72792,protomer,protomer,97.0,1
CHEBI_62641,CHEBI_36999,CHEBI_36999_CHEBI_62641,protomer,protomer,93.0,1
