chebi_id,hmdb_id
CHEBI:138764,HMDB0029443
CHEBI:138766,HMDB0041250
CHEBI:138767,HMDB0040373
CHEBI:138769,HMDB0035131
CHEBI:138771,HMDB0037064
CHEBI:138772,HMDB0037631
CHEBI:138773,HMDB0032796
CHEBI:138774,HMDB0032889
CHEBI:138775,HMDB0032090
CHEBI:138776,HMDB0033917
CHEBI:138777,HMDB0033326
CHEBI:138779,HMDB0033630
CHEBI:138781,HMDB0031098
CHEBI:138783,HMDB0032664
CHEBI:138784,HMDB0033505
CHEBI:138787,HMDB0037592
CHEBI:138788,HMDB0038580
CHEBI:138790,HMDB0038663
CHEBI:138796,HMDB0031935
CHEBI:138797,HMDB0037527
CHEBI:138800,HMDB0038441
CHEBI:138825,HMDB0255044
CHEBI:138856,HMDB0255996
CHEBI:138898,HMDB0014878
CHEBI:1391,HMDB0041931
CHEBI:1391,HMDB0254382
CHEBI:139105,HMDB0011114
CHEBI:139140,HMDB0004970
CHEBI:139162,HMDB0301749
CHEBI:139272,HMDB0000531
CHEBI:139312,HMDB0012109
CHEBI:139343,HMDB0256072
CHEBI:139354,HMDB0255013
CHEBI:139380,HMDB0039475
CHEBI:139388,HMDB0004328
CHEBI:139406,HMDB0037083
CHEBI:139410,HMDB0037574
CHEBI:139413,HMDB0114943
CHEBI:139414,HMDB0037534
CHEBI:139417,HMDB0037746
CHEBI:139419,HMDB0000399
CHEBI:139419,HMDB0001076
CHEBI:139421,HMDB0040969
CHEBI:139427,HMDB0039963
CHEBI:139431,HMDB0303755
CHEBI:139454,HMDB0253708
CHEBI:139455,HMDB0253666
CHEBI:139463,HMDB0029488
CHEBI:139467,HMDB0033571
CHEBI:139467,HMDB0035895
CHEBI:139474,HMDB0247894
CHEBI:139534,HMDB0012558
CHEBI:139535,HMDB0012556
CHEBI:139557,HMDB0248455
CHEBI:139743,HMDB0029956
CHEBI:140184,HMDB0246457
CHEBI:140296,HMDB0042005
CHEBI:140408,HMDB0245180
CHEBI:140421,HMDB0249167
CHEBI:140422,HMDB0257366
CHEBI:140429,HMDB0255136
CHEBI:140459,HMDB0014706
CHEBI:140464,HMDB0247297
CHEBI:140465,HMDB0248373
CHEBI:140516,HMDB0033557
CHEBI:140564,HMDB0030644
CHEBI:140621,HMDB0240286
CHEBI:140628,HMDB0258202
CHEBI:140674,HMDB0255083
CHEBI:140723,HMDB0006512
CHEBI:140730,HMDB0240785
CHEBI:140731,HMDB0240866
CHEBI:140732,HMDB0241051
CHEBI:140762,HMDB0030398
CHEBI:140763,HMDB0035435
CHEBI:140766,HMDB0034621
CHEBI:140767,HMDB0034862
CHEBI:140849,HMDB0039954
CHEBI:14086,HMDB0006876
CHEBI:140908,HMDB0252638
CHEBI:140936,HMDB0257511
CHEBI:140999,HMDB0001262
CHEBI:141063,HMDB0254836
CHEBI:141132,HMDB0029270
